Name	HeroID	SkillID	SkillSlot	SkillType	SkillFuncType	StopDeath	ResLevel	AwakenType	SkillLevel	SkillCD	IsAwakeSkill	IsCharge	ChargeBuffID	TimeBuffID	TargetCamp	OperationType	SkillAIType
索尔_技能1_等级1	1	10	1	主动技	单体		0	0	1	0					敌方	选择单体	
索尔_技能1_等级2	1	11	1	主动技	单体		0	0	2	0					敌方	选择单体	
索尔_技能1_等级3	1	12	1	主动技	单体		0	0	3	0					敌方	选择单体	
索尔_技能1_等级4	1	13	1	主动技	单体		0	0	4	0					敌方	选择单体	
索尔_技能1_等级5	1	14	1	主动技	单体		0	0	5	0					敌方	选择单体	
索尔_技能2_等级1	1	20	2	被动技			0	0	1	4	TRUE						
索尔_技能2_等级2	1	21	2	被动技			0	0	2	4	TRUE						
索尔_技能2_等级3	1	22	2	被动技			0	0	3	4	TRUE						
索尔_技能2_等级4	1	23	2	被动技			0	0	4	4	TRUE						
索尔_技能2_等级5	1	24	2	被动技			0	0	5	3	TRUE						
索尔_技能3_等级1	1	30	3	主动技	单体		0	0	1	5					敌方	选择单体	
索尔_技能3_等级2	1	31	3	主动技	单体		0	0	2	5					敌方	选择单体	
索尔_技能3_等级3	1	32	3	主动技	单体		0	0	3	5					敌方	选择单体	
索尔_技能3_等级4	1	33	3	主动技	单体		0	0	4	5					敌方	选择单体	
索尔_技能3_等级5	1	34	3	主动技	单体		0	0	5	4					敌方	选择单体	
索尔_技能2_等级1_觉醒	1	3020	2	被动技			0	3	1	4	TRUE						
索尔_技能2_等级2_觉醒	1	3021	2	被动技			0	3	2	4	TRUE						
索尔_技能2_等级3_觉醒	1	3022	2	被动技			0	3	3	4	TRUE						
索尔_技能2_等级4_觉醒	1	3023	2	被动技			0	3	4	4	TRUE						
索尔_技能2_等级5_觉醒	1	3024	2	被动技			0	3	5	3	TRUE						
索尔_技能2_等级1_共鸣1	1	120	2	被动技			1	0	1	4	TRUE						
索尔_技能2_等级2_共鸣1	1	121	2	被动技			1	0	2	4	TRUE						
索尔_技能2_等级3_共鸣1	1	122	2	被动技			1	0	3	4	TRUE						
索尔_技能2_等级4_共鸣1	1	123	2	被动技			1	0	4	4	TRUE						
索尔_技能2_等级5_共鸣1	1	124	2	被动技			1	0	5	3	TRUE						
索尔_技能2_等级1_觉醒_共鸣1	1	3120	2	被动技			1	3	1	4	TRUE						
索尔_技能2_等级2_觉醒_共鸣1	1	3121	2	被动技			1	3	2	4	TRUE						
索尔_技能2_等级3_觉醒_共鸣1	1	3122	2	被动技			1	3	3	4	TRUE						
索尔_技能2_等级4_觉醒_共鸣1	1	3123	2	被动技			1	3	4	4	TRUE						
索尔_技能2_等级5_觉醒_共鸣1	1	3124	2	被动技			1	3	5	3	TRUE						
索尔_技能2_等级1_共鸣2	1	220	2	被动技			2	0	1	4	TRUE						
索尔_技能2_等级2_共鸣2	1	221	2	被动技			2	0	2	4	TRUE						
索尔_技能2_等级3_共鸣2	1	222	2	被动技			2	0	3	4	TRUE						
索尔_技能2_等级4_共鸣2	1	223	2	被动技			2	0	4	4	TRUE						
索尔_技能2_等级5_共鸣2	1	224	2	被动技			2	0	5	3	TRUE						
索尔_技能2_等级1_觉醒_共鸣2	1	3220	2	被动技			2	3	1	4	TRUE						
索尔_技能2_等级2_觉醒_共鸣2	1	3221	2	被动技			2	3	2	4	TRUE						
索尔_技能2_等级3_觉醒_共鸣2	1	3222	2	被动技			2	3	3	4	TRUE						
索尔_技能2_等级4_觉醒_共鸣2	1	3223	2	被动技			2	3	4	4	TRUE						
索尔_技能2_等级5_觉醒_共鸣2	1	3224	2	被动技			2	3	5	3	TRUE						
索尔_技能3_等级1_共鸣6	1	630	3	主动技	单体		6	0	1	5					敌方	选择单体	
索尔_技能3_等级2_共鸣6	1	631	3	主动技	单体		6	0	2	5					敌方	选择单体	
索尔_技能3_等级3_共鸣6	1	632	3	主动技	单体		6	0	3	5					敌方	选择单体	
索尔_技能3_等级4_共鸣6	1	633	3	主动技	单体		6	0	4	5					敌方	选择单体	
索尔_技能3_等级5_共鸣6	1	634	3	主动技	单体		6	0	5	4					敌方	选择单体	
索尔_技能11_等级1_共鸣1	1	210	11	子技能			1	0	1	0					敌方	直接释放	
索尔_技能11_等级2_共鸣1	1	211	11	子技能			1	0	2	0					敌方	直接释放	
索尔_技能11_等级3_共鸣1	1	212	11	子技能			1	0	3	0					敌方	直接释放	
索尔_技能11_等级4_共鸣1	1	213	11	子技能			1	0	4	0					敌方	直接释放	
索尔_技能11_等级5_共鸣1	1	214	11	子技能			1	0	5	0					敌方	直接释放	
索尔_技能10_等级1	1	100	10	子技能			0	0	1	0					敌方	直接释放	
索尔_技能10_等级2	1	101	10	子技能			0	0	2	0					敌方	直接释放	
索尔_技能10_等级3	1	102	10	子技能			0	0	3	0					敌方	直接释放	
索尔_技能10_等级4	1	103	10	子技能			0	0	4	0					敌方	直接释放	
索尔_技能10_等级5	1	104	10	子技能			0	0	5	0					敌方	直接释放	
索尔_技能20_等级1	1	200	20	子技能			0	0	1	0					友方	直接释放	
西王母_技能1_等级1	2	10	1	主动技	单体		0	0	1	0	TRUE				敌方	选择单体	
西王母_技能1_等级2	2	11	1	主动技	单体		0	0	2	0	TRUE				敌方	选择单体	
西王母_技能1_等级3	2	12	1	主动技	单体		0	0	3	0	TRUE				敌方	选择单体	
西王母_技能1_等级4	2	13	1	主动技	单体		0	0	4	0	TRUE				敌方	选择单体	
西王母_技能1_等级5	2	14	1	主动技	单体		0	0	5	0	TRUE				敌方	选择单体	
西王母_技能2_等级1	2	20	2	被动技			0	0	1	0					友方	直接释放	
西王母_技能2_等级2	2	21	2	被动技			0	0	2	0					友方	直接释放	
西王母_技能2_等级3	2	22	2	被动技			0	0	3	0					友方	直接释放	
西王母_技能2_等级4	2	23	2	被动技			0	0	4	0					友方	直接释放	
西王母_技能2_等级5	2	24	2	被动技			0	0	5	0					友方	直接释放	
西王母_技能2_等级6	2	25	2	被动技			0	0	6	0					友方	直接释放	
西王母_技能3_等级1	2	30	3	主动技	单体		0	0	1	5					敌方	选择单体	
西王母_技能3_等级2	2	31	3	主动技	单体		0	0	2	5					敌方	选择单体	
西王母_技能3_等级3	2	32	3	主动技	单体		0	0	3	5					敌方	选择单体	
西王母_技能3_等级4	2	33	3	主动技	单体		0	0	4	4					敌方	选择单体	
西王母_技能1_等级1_觉醒	2	3010	1	主动技	单体		0	3	1	0	TRUE				敌方	选择单体	
西王母_技能1_等级2_觉醒	2	3011	1	主动技	单体		0	3	2	0	TRUE				敌方	选择单体	
西王母_技能1_等级3_觉醒	2	3012	1	主动技	单体		0	3	3	0	TRUE				敌方	选择单体	
西王母_技能1_等级4_觉醒	2	3013	1	主动技	单体		0	3	4	0	TRUE				敌方	选择单体	
西王母_技能1_等级5_觉醒	2	3014	1	主动技	单体		0	3	5	0	TRUE				敌方	选择单体	
西王母_技能3_等级1_共鸣1	2	130	3	主动技	单体		1	0	1	5					敌方	选择单体	
西王母_技能3_等级2_共鸣1	2	131	3	主动技	单体		1	0	2	5					敌方	选择单体	
西王母_技能3_等级3_共鸣1	2	132	3	主动技	单体		1	0	3	5					敌方	选择单体	
西王母_技能3_等级4_共鸣1	2	133	3	主动技	单体		1	0	4	4					敌方	选择单体	
西王母_技能2_等级1_共鸣2	2	220	2	被动技			2	0	1	0					友方	直接释放	
西王母_技能2_等级2_共鸣2	2	221	2	被动技			2	0	2	0					友方	直接释放	
西王母_技能2_等级3_共鸣2	2	222	2	被动技			2	0	3	0					友方	直接释放	
西王母_技能2_等级4_共鸣2	2	223	2	被动技			2	0	4	0					友方	直接释放	
西王母_技能2_等级5_共鸣2	2	224	2	被动技			2	0	5	0					友方	直接释放	
西王母_技能2_等级6_共鸣2	2	225	2	被动技			2	0	6	0					友方	直接释放	
西王母_技能3_等级1_共鸣6	2	630	3	主动技	单体		6	0	1	5					敌方	选择单体	
西王母_技能3_等级2_共鸣6	2	631	3	主动技	单体		6	0	2	5					敌方	选择单体	
西王母_技能3_等级3_共鸣6	2	632	3	主动技	单体		6	0	3	5					敌方	选择单体	
西王母_技能3_等级4_共鸣6	2	633	3	主动技	单体		6	0	4	4					敌方	选择单体	
努特_技能1_等级1	3	10	1	主动技	单体		0	0	1	0					敌方	选择单体	
努特_技能1_等级2	3	11	1	主动技	单体		0	0	2	0					敌方	选择单体	
努特_技能1_等级3	3	12	1	主动技	单体		0	0	3	0					敌方	选择单体	
努特_技能1_等级4	3	13	1	主动技	单体		0	0	4	0					敌方	选择单体	
努特_技能1_等级5	3	14	1	主动技	单体		0	0	5	0					敌方	选择单体	
努特_技能1_等级1_共鸣1	3	110	1	主动技	单体		1	0	1	0					敌方	选择单体	
努特_技能1_等级2_共鸣1	3	111	1	主动技	单体		1	0	2	0					敌方	选择单体	
努特_技能1_等级3_共鸣1	3	112	1	主动技	单体		1	0	3	0					敌方	选择单体	
努特_技能1_等级4_共鸣1	3	113	1	主动技	单体		1	0	4	0					敌方	选择单体	
努特_技能1_等级5_共鸣1	3	114	1	主动技	单体		1	0	5	0					敌方	选择单体	
努特_技能1_等级1_共鸣2	3	210	1	主动技	单体		2	0	1	0					敌方	选择单体	
努特_技能1_等级2_共鸣2	3	211	1	主动技	单体		2	0	2	0					敌方	选择单体	
努特_技能1_等级3_共鸣2	3	212	1	主动技	单体		2	0	3	0					敌方	选择单体	
努特_技能1_等级4_共鸣2	3	213	1	主动技	单体		2	0	4	0					敌方	选择单体	
努特_技能1_等级5_共鸣2	3	214	1	主动技	单体		2	0	5	0					敌方	选择单体	
努特_技能2_等级1	3	20	2	主动技	群攻		0	0	1	4	TRUE				敌方	直接释放	
努特_技能2_等级2	3	21	2	主动技	群攻		0	0	2	4	TRUE				敌方	直接释放	
努特_技能2_等级3	3	22	2	主动技	群攻		0	0	3	4	TRUE				敌方	直接释放	
努特_技能2_等级4	3	23	2	主动技	群攻		0	0	4	4	TRUE				敌方	直接释放	
努特_技能2_等级5	3	24	2	主动技	群攻		0	0	5	3	TRUE				敌方	直接释放	
努特_技能3_等级1	3	30	3	主动技	群攻		0	0	1	6					敌方	直接释放	
努特_技能3_等级2	3	31	3	主动技	群攻		0	0	2	6					敌方	直接释放	
努特_技能3_等级3	3	32	3	主动技	群攻		0	0	3	6					敌方	直接释放	
努特_技能3_等级4	3	33	3	主动技	群攻		0	0	4	6					敌方	直接释放	
努特_技能3_等级5	3	34	3	主动技	群攻		0	0	5	5					敌方	直接释放	
努特_技能3_等级1_共鸣6	3	630	3	主动技	群攻		6	0	1	6					敌方	直接释放	
努特_技能3_等级2_共鸣6	3	631	3	主动技	群攻		6	0	2	6					敌方	直接释放	
努特_技能3_等级3_共鸣6	3	632	3	主动技	群攻		6	0	3	6					敌方	直接释放	
努特_技能3_等级4_共鸣6	3	633	3	主动技	群攻		6	0	4	6					敌方	直接释放	
努特_技能3_等级5_共鸣6	3	634	3	主动技	群攻		6	0	5	5					敌方	直接释放	
努特_技能2_等级1_觉醒	3	3020	2	主动技	群攻		0	3	1	4	TRUE				敌方	直接释放	
努特_技能2_等级2_觉醒	3	3021	2	主动技	群攻		0	3	2	4	TRUE				敌方	直接释放	
努特_技能2_等级3_觉醒	3	3022	2	主动技	群攻		0	3	3	4	TRUE				敌方	直接释放	
努特_技能2_等级4_觉醒	3	3023	2	主动技	群攻		0	3	4	4	TRUE				敌方	直接释放	
努特_技能2_等级5_觉醒	3	3024	2	主动技	群攻		0	3	5	3	TRUE				敌方	直接释放	
那夫特姆_技能1_等级1	4	10	1	主动技	单体		0	0	1	0					敌方	选择单体	伤害效果
那夫特姆_技能1_等级2	4	11	1	主动技	单体		0	0	2	0					敌方	选择单体	伤害效果
那夫特姆_技能1_等级3	4	12	1	主动技	单体		0	0	3	0					敌方	选择单体	伤害效果
那夫特姆_技能1_等级4	4	13	1	主动技	单体		0	0	4	0					敌方	选择单体	伤害效果
那夫特姆_技能1_等级5	4	14	1	主动技	单体		0	0	5	0					敌方	选择单体	伤害效果
那夫特姆_技能2_等级1	4	20	2	主动技			0	0	1	4					友方	直接释放	治疗
那夫特姆_技能2_等级2	4	21	2	主动技			0	0	2	4					友方	直接释放	治疗
那夫特姆_技能2_等级3	4	22	2	主动技			0	0	3	4					友方	直接释放	治疗
那夫特姆_技能2_等级4	4	23	2	主动技			0	0	4	4					友方	直接释放	治疗
那夫特姆_技能2_等级5	4	24	2	主动技			0	0	5	3					友方	直接释放	治疗
那夫特姆_技能2_等级1_共鸣1	4	120	2	主动技			1	0	1	4					友方	直接释放	治疗
那夫特姆_技能2_等级2_共鸣1	4	121	2	主动技			1	0	2	4					友方	直接释放	治疗
那夫特姆_技能2_等级3_共鸣1	4	122	2	主动技			1	0	3	4					友方	直接释放	治疗
那夫特姆_技能2_等级4_共鸣1	4	123	2	主动技			1	0	4	4					友方	直接释放	治疗
那夫特姆_技能2_等级5_共鸣1	4	124	2	主动技			1	0	5	3					友方	直接释放	治疗
那夫特姆_技能3_等级1	4	30	3	主动技			0	0	1	5	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级2	4	31	3	主动技			0	0	2	5	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级3	4	32	3	主动技			0	0	3	5	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级4	4	33	3	主动技			0	0	4	5	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级5	4	34	3	主动技			0	0	5	4	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级1_觉醒	4	3030	3	主动技			0	3	1	5	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级2_觉醒	4	3031	3	主动技			0	3	2	5	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级3_觉醒	4	3032	3	主动技			0	3	3	5	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级4_觉醒	4	3033	3	主动技			0	3	4	5	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级5_觉醒	4	3034	3	主动技			0	3	5	4	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级1_共鸣6	4	630	3	主动技			6	0	1	5	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级2_共鸣6	4	631	3	主动技			6	0	2	5	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级3_共鸣6	4	632	3	主动技			6	0	3	5	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级4_共鸣6	4	633	3	主动技			6	0	4	5	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级5_共鸣6	4	634	3	主动技			6	0	5	4	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级1_觉醒_共鸣6	4	3630	3	主动技			6	3	1	5	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级2_觉醒_共鸣6	4	3631	3	主动技			6	3	2	5	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级3_觉醒_共鸣6	4	3632	3	主动技			6	3	3	5	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级4_觉醒_共鸣6	4	3633	3	主动技			6	3	4	5	TRUE				友方	直接释放	拉条
那夫特姆_技能3_等级5_觉醒_共鸣6	4	3634	3	主动技			6	3	5	4	TRUE				友方	直接释放	拉条
阿图姆_技能1_等级1	5	10	1	主动技	单体		0	0	1	0					敌方	选择单体	伤害效果
阿图姆_技能1_等级2	5	11	1	主动技	单体		0	0	2	0					敌方	选择单体	伤害效果
阿图姆_技能1_等级3	5	12	1	主动技	单体		0	0	3	0					敌方	选择单体	伤害效果
阿图姆_技能1_等级4	5	13	1	主动技	单体		0	0	4	0					敌方	选择单体	伤害效果
阿图姆_技能1_等级5	5	14	1	主动技	单体		0	0	5	0					敌方	选择单体	伤害效果
阿图姆_技能1_等级6	5	15	1	主动技	单体		0	0	6	0					敌方	选择单体	伤害效果
阿图姆_技能2_等级1	5	20	2	被动技			0	0	1	0	TRUE						
阿图姆_技能2_等级1_共鸣6	5	620	2	被动技			6	0	1	0	TRUE						
阿图姆_技能2_等级1_觉醒	5	3020	2	被动技			0	3	1	0	TRUE						
阿图姆_技能2_等级1_觉醒_共鸣6	5	3620	2	被动技			6	3	1	0	TRUE						
阿图姆_技能3_等级1	5	30	3	主动技	单体		0	0	1	5					敌方	选择单体	伤害效果
阿图姆_技能3_等级2	5	31	3	主动技	单体		0	0	2	5					敌方	选择单体	伤害效果
阿图姆_技能3_等级3	5	32	3	主动技	单体		0	0	3	5					敌方	选择单体	伤害效果
阿图姆_技能3_等级4	5	33	3	主动技	单体		0	0	4	5					敌方	选择单体	伤害效果
阿图姆_技能3_等级5	5	34	3	主动技	单体		0	0	5	5					敌方	选择单体	伤害效果
阿图姆_技能3_等级6	5	35	3	主动技	单体		0	0	6	4					敌方	选择单体	伤害效果
阿图姆_技能3_等级1_共鸣1	5	130	3	主动技	单体		1	0	1	5					敌方	选择单体	伤害效果
阿图姆_技能3_等级2_共鸣1	5	131	3	主动技	单体		1	0	2	5					敌方	选择单体	伤害效果
阿图姆_技能3_等级3_共鸣1	5	132	3	主动技	单体		1	0	3	5					敌方	选择单体	伤害效果
阿图姆_技能3_等级4_共鸣1	5	133	3	主动技	单体		1	0	4	5					敌方	选择单体	伤害效果
阿图姆_技能3_等级5_共鸣1	5	134	3	主动技	单体		1	0	5	5					敌方	选择单体	伤害效果
阿图姆_技能3_等级6_共鸣1	5	135	3	主动技	单体		1	0	6	4					敌方	选择单体	伤害效果
阿图姆_技能3_等级1_共鸣6	5	630	3	主动技	单体		6	0	1	5					敌方	选择单体	伤害效果
阿图姆_技能3_等级2_共鸣6	5	631	3	主动技	单体		6	0	2	5					敌方	选择单体	伤害效果
阿图姆_技能3_等级3_共鸣6	5	632	3	主动技	单体		6	0	3	5					敌方	选择单体	伤害效果
阿图姆_技能3_等级4_共鸣6	5	633	3	主动技	单体		6	0	4	5					敌方	选择单体	伤害效果
阿图姆_技能3_等级5_共鸣6	5	634	3	主动技	单体		6	0	5	5					敌方	选择单体	伤害效果
阿图姆_技能3_等级6_共鸣6	5	635	3	主动技	单体		6	0	6	4					敌方	选择单体	伤害效果
索贝克_技能1_等级1	6	10	1	主动技	单体		0	0	1	0					敌方	选择单体	伤害效果
索贝克_技能1_等级2	6	11	1	主动技	单体		0	0	2	0					敌方	选择单体	伤害效果
索贝克_技能1_等级3	6	12	1	主动技	单体		0	0	3	0					敌方	选择单体	伤害效果
索贝克_技能1_等级4	6	13	1	主动技	单体		0	0	4	0					敌方	选择单体	伤害效果
